country,pagerank_as_destination,pagerank_as_passport,in_degree,out_degree,betweenness,hub_authority_gap,name
BWA,0.00282994918992195,0.00495969844397753,103,72,0.0006311881216494172,0.00212974925405558,Botswana
UGA,0.0029325220220356818,0.003851615480375911,40,62,0.0008791751315425735,0.0009190934583402292,Uganda
CUB,0.002203058563737847,0.0018351125889426866,21,56,0.00012207506449114918,-0.00036794597479516055,Cuba
FJI,0.0035998035561127313,0.005688596571278501,112,81,0.0014030471646674064,0.0020887930151657695,Fiji
GRD,0.006662115159746966,0.006616574511189741,123,128,0.003930375193176298,-4.554064855722545e-05,Grenada
KIR,0.0059107146504012355,0.006823289657678571,123,112,0.003213293224191756,0.0009125750072773355,Kiribati
LSO,0.0027168117054624658,0.004680443615001,81,70,0.0003713447410680755,0.0019636319095385343,Lesotho
KNA,0.007185825441238092,0.006076709028154203,121,136,0.004534593862644918,-0.0011091164130838885,Saint Kitts and Nevis
MNG,0.0027517641261068097,0.0028158240869267984,67,64,0.00038867021105092275,6.405996081998867e-05,Mongolia
BRN,0.007631748409114911,0.0029049945350634434,64,139,0.0016665976788033416,-0.004726753874051468,Brunei
TON,0.005923978361031444,0.003015603511888919,69,112,0.00042223623639379895,-0.0029083748491425254,Tonga
IRQ,0.0012978675412848536,0.0012986890576828507,9,29,5.883492765978417e-06,8.21516397997088e-07,Iraq
PAK,0.0013698398704449235,0.00137699014802759,9,29,1.5200497551454047e-05,7.150277582666526e-06,Pakistan
BTN,0.0021933445034559226,0.0011361132542324866,3,49,7.218931276265327e-05,-0.001057231249223436,Bhutan
GNQ,0.003053767989040439,0.0009477774792345236,5,54,0.0005719828284063517,-0.0021059905098059157,Equatorial Guinea
VNM,0.0021535926670271212,0.002224346612983199,39,52,0.00015513469692059488,7.075394595607758e-05,Vietnam
BFA,0.003106043827089058,0.0022110795614647565,19,54,0.00022261978842243416,-0.0008949642656243015,Burkina Faso
CAF,0.0028405508192519387,0.0017811574631351919,15,48,0.0011649072829609695,-0.0010593933561167468,Central African Republic
TCD,0.0034189275025938892,0.0016543423339616986,16,50,0.0009128288996820952,-0.0017645851686321906,Chad
COG,0.0028770373579045487,0.0015999080557855953,15,46,0.0009153541548595935,-0.0012771293021189534,Congo
LBR,0.00255071898737032,0.002046737921685016,14,47,5.940576242432909e-05,-0.0005039810656853041,Liberia
NER,0.0033294895761213955,0.002242390067909032,19,53,0.0002741170196104949,-0.0010870995082123635,Niger
NGA,0.0029585231753967976,0.0021964521988207682,18,41,0.0016976260356161648,-0.0007620709765760294,Nigeria
TGO,0.002956784317561314,0.0020902630918692793,15,55,0.00015815571513817477,-0.0008665212256920348,Togo
IND,0.002728555828230105,0.0012039478640210688,6,55,0.00011111783474187554,-0.001524607964209036,India
MMR,0.0017473442278094038,0.0017635110839731931,16,41,3.041393665874853e-05,1.6166856163789354e-05,Myanmar
COD,0.0016259593421272256,0.0016252151688435057,7,41,5.025497472572218e-06,-7.441732837198435e-07,DR Congo
SOM,0.0014078986020760532,0.0019140297738317142,8,32,2.245596689545667e-05,0.0005061311717556611,Somalia
SSD,0.00163162786790132,0.0014614998909353895,5,41,1.3705812584374332e-05,-0.00017012797696593042,South Sudan
CMR,0.0031962842786811777,0.0009199907586070164,6,46,0.00011485706170273903,-0.0022762935200741612,Cameroon
GAB,0.0029693395457460396,0.001092102214893537,9,56,0.0005813647572504513,-0.0018772373308525026,Gabon
ERI,0.0015255017540484156,0.0011206264463823226,4,36,1.2294400400145417e-05,-0.000404875307666093,Eritrea
NRU,0.003022062211918812,0.0015600669422210947,16,73,5.398959815015042e-05,-0.0014619952696977175,Nauru
SDN,0.0018856237062299724,0.0010938011356019881,7,39,8.37561896629484e-05,-0.0007918225706279843,Sudan
PRK,0.0014307883935151483,0.0007537688442211056,0,37,0.0,-0.0006770195492940427,North Korea
TKM,0.0017649355401728787,0.0007537688442211056,0,46,0.0,-0.0010111666959517732,Turkmenistan
